match_id,datetime,home_team,away_team,scoreline,game_type,initial_lineups,final_lineups,substitution_summary
20250411113737iocaa-v-iocab9-7,2025-04-11 11:37:37,IOSoccer Central America,IOSoccer Central America,9-7,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", ""highligdam"", ""STEAM_0:1:146620910""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", ""Pisco"", ""STEAM_0:0:423977434""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250410230003pa-v-ioca9-6,2025-04-10 23:00:03,Promise Academy,IOSoccer Central America,9-6,6v6,"{""away"": [[""GK"", ""tookey"", ""STEAM_0:0:634869277""], [""LB"", ""rare"", ""STEAM_0:1:631317413""], [""RB"", ""srv"", ""STEAM_0:1:625844098""], [""CM"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LW"", ""All The Stars (with SZA) Kendr"", ""STEAM_0:0:557206486""], [""RW"", ""brodrick"", ""STEAM_0:1:62198196""]], ""home"": [[""GK"", null, null], [""LB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""RB"", ""0"", ""STEAM_0:0:842808826""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""larry"", ""STEAM_0:1:741203476""]]}","{""away"": [[""GK"", ""0"", ""STEAM_0:0:842808826""], [""LB"", ""rare"", ""STEAM_0:1:631317413""], [""RB"", ""srv"", ""STEAM_0:1:625844098""], [""CM"", ""brodrick"", ""STEAM_0:1:62198196""], [""LW"", ""All The Stars (with SZA) Kendr"", ""STEAM_0:0:557206486""], [""RW"", ""polar"", ""STEAM_0:0:495288729""]], ""home"": [[""GK"", ""0"", ""STEAM_0:0:842808826""], [""LB"", ""tookey"", ""STEAM_0:0:634869277""], [""RB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""larry"", ""STEAM_0:1:741203476""]]}",[]
20250410192408pa-v-ioca8-3,2025-04-10 19:24:08,Promise Academy,IOSoccer Central America,8-3,6v6,"{""away"": [[""GK"", null, null], [""LB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""RB"", ""Gennaro"", ""STEAM_0:0:31014794""], [""CM"", ""CB no fucking pass"", ""STEAM_0:1:6064525""], [""LW"", ""kliy"", ""STEAM_0:1:787992769""], [""RW"", ""555 tung tung tung sahur"", ""STEAM_0:0:693474670""]], ""home"": [[""GK"", ""error 404"", ""STEAM_0:1:627950827""], [""LB"", ""All The Stars (with SZA) Kendr"", ""STEAM_0:0:557206486""], [""RB"", ""0"", ""STEAM_0:0:842808826""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""rare"", ""STEAM_0:1:631317413""]]}","{""away"": [[""GK"", ""error 404"", ""STEAM_0:1:627950827""], [""LB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""RB"", ""Gennaro"", ""STEAM_0:0:31014794""], [""CM"", ""coca"", ""STEAM_0:0:898995799""], [""LW"", ""555 tung tung tung sahur"", ""STEAM_0:0:693474670""], [""RW"", ""polar"", ""STEAM_0:0:495288729""]], ""home"": [[""GK"", ""error 404"", ""STEAM_0:1:627950827""], [""LB"", ""rare"", ""STEAM_0:1:631317413""], [""RB"", ""0"", ""STEAM_0:0:842808826""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""All The Stars (with SZA) Kendr"", ""STEAM_0:0:557206486""]]}","[[""away"", [""555 tung tung tung sahur"", ""STEAM_0:0:693474670""], [""coca"", ""STEAM_0:0:898995799""]]]"
20250410115113czecia-v-roania6-7,2025-04-10 11:51:13,Czechia,Romania,6-7,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", ""Bicho"", ""STEAM_0:1:776748154""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", ""Papalito"", ""STEAM_0:1:451783975""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250410113440lovakia-v-qatar5-2,2025-04-10 11:34:40,Slovakia,Qatar,5-2,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250410112747iocaa-v-iocab7-7,2025-04-10 11:27:47,IOSoccer Central America,IOSoccer Central America,7-7,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250410111224iocaa-v-iocab3-5,2025-04-10 11:12:24,IOSoccer Central America,IOSoccer Central America,3-5,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250410001446pa-v-ioca6-6,2025-04-10 00:14:46,Promise Academy,IOSoccer Central America,6-6,6v6,"{""away"": [[""GK"", null, null], [""LB"", ""Zlators"", ""STEAM_0:0:115985751""], [""RB"", ""Gennaro"", ""STEAM_0:0:31014794""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""Pisco"", ""STEAM_0:0:423977434""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""shaq"", ""STEAM_0:0:523865819""], [""LB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""..."", ""STEAM_0:0:495288729""], [""RW"", ""..."", ""STEAM_0:0:495288729""]]}","{""away"": [[""GK"", ""nunca"", ""STEAM_0:1:509480167""], [""LB"", ""Kick Buttowski"", ""STEAM_0:1:795040256""], [""RB"", ""Gennaro"", ""STEAM_0:0:31014794""], [""CM"", ""srv"", ""STEAM_0:1:625844098""], [""LW"", ""Pisco"", ""STEAM_0:0:423977434""], [""RW"", ""kliy"", ""STEAM_0:1:787992769""]], ""home"": [[""GK"", ""nunca"", ""STEAM_0:1:509480167""], [""LB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""RB"", ""larry"", ""STEAM_0:1:741203476""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""0"", ""STEAM_0:0:842808826""], [""RW"", ""..."", ""STEAM_0:0:495288729""]]}","[[""away"", [""Zlators"", ""STEAM_0:0:115985751""], [""nunca"", ""STEAM_0:1:509480167""]]]"
20250409223919iocaa-v-iocab6-2,2025-04-09 22:39:19,IOSoccer Central America,IOSoccer Central America,6-2,8v8,"{""away"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", null, null], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}","{""away"": [[""GK"", ""Pisco"", ""STEAM_0:0:423977434""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]], ""home"": [[""GK"", ""BrandonBQM"", ""STEAM_0:1:588628560""], [""LB"", null, null], [""CB"", null, null], [""RB"", null, null], [""CM"", null, null], [""LW"", null, null], [""CF"", null, null], [""RW"", null, null]]}",[]
20250409222301pa-v-ioca6-6,2025-04-09 22:23:01,Promise Academy,IOSoccer Central America,6-6,6v6,"{""away"": [[""GK"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LB"", ""srv"", ""STEAM_0:1:625844098""], [""RB"", ""Kick Buttowski"", ""STEAM_0:1:795040256""], [""CM"", ""TRT"", ""STEAM_0:0:709867121""], [""LW"", ""Pisco"", ""STEAM_0:0:423977434""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]], ""home"": [[""GK"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LB"", ""nunca"", ""STEAM_0:1:509480167""], [""RB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""CM"", ""0"", ""STEAM_0:0:842808826""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""Bicho"", ""STEAM_0:1:776748154""]]}","{""away"": [[""GK"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LB"", ""srv"", ""STEAM_0:1:625844098""], [""RB"", ""Kick Buttowski"", ""STEAM_0:1:795040256""], [""CM"", ""TRT"", ""STEAM_0:0:709867121""], [""LW"", ""Pisco"", ""STEAM_0:0:423977434""], [""RW"", ""Fallen"", ""STEAM_0:1:4812742""]], ""home"": [[""GK"", ""eSlicer"", ""STEAM_0:0:115494837""], [""LB"", ""0"", ""STEAM_0:0:842808826""], [""RB"", ""Railenks21"", ""STEAM_0:1:548283418""], [""CM"", ""... 1 half"", ""STEAM_0:0:591586986""], [""LW"", ""polar"", ""STEAM_0:0:495288729""], [""RW"", ""SkyMaze Jr"", ""STEAM_0:0:887120221""]]}","[[""home"", [""Bicho"", ""STEAM_0:1:776748154""], [""SkyMaze Jr"", ""STEAM_0:0:887120221""]]]"
