steamid,player,main_role,total_appearances,total_minutes,atk_rating,mid_rating,def_rating,gk_rating,atk_appearances,mid_appearances,def_appearances,gk_appearances,atk_minutes,mid_minutes,def_minutes,gk_minutes,main_role_rating,display_main_role_rating,rating,last_match_at,is_official_rating
STEAM_0:0:708003064,Luciosril,DEF,1,133,,,6.56,,0,0,1,0,0,0,133,0,6.56,,,2026-08-07 01:56:12,False
STEAM_0:1:146650038,lupinhas,ATK,1,28,6.16,,,,1,0,0,0,28,0,0,0,6.16,,,2026-02-05 02:15:16,False
STEAM_0:1:942487096,M4rion,ATK,26,1586,6.45,6.36,6.75,,12,5,9,0,701,385,500,0,6.45,,,2026-07-27 01:19:49,False
STEAM_0:0:153735557,macculus,DEF,10,911,6.12,,7.28,,3,0,7,0,218,0,693,0,7.28,,,2026-07-25 23:49:23,False
STEAM_0:1:814085014,maddox.a.salazar,ATK,1,43,6.26,,,,1,0,0,0,43,0,0,0,6.26,,,2026-08-02 05:59:01,False
STEAM_0:0:610176449,Maestro Splinter,ATK,3,94,6.14,,,,3,0,0,0,94,0,0,0,6.14,,,2025-05-25 03:21:36,False
STEAM_0:0:764986577,magano,ATK,7,528,6.27,,6.44,,6,0,1,0,474,0,54,0,6.27,,,2026-05-05 02:19:29,False
STEAM_0:1:200525073,Magma,MID,2,130,,6.5,6.22,,0,1,1,0,0,117,13,0,6.5,,,2026-03-23 21:56:08,False
STEAM_0:0:436040412,Magma,ATK,1,92,6.35,,,,1,0,0,0,92,0,0,0,6.35,,,2025-02-02 19:29:18,False
STEAM_0:0:521490581,Maldini,DEF,1,93,,,6.19,,0,0,1,0,0,0,93,0,6.19,,,2026-01-09 22:48:58,False
STEAM_0:1:613666181,MALDINI POLLA GRANDE33,ATK,5,352,6.68,,6.29,,4,0,1,0,304,0,48,0,6.68,,,2026-03-02 01:18:45,False
STEAM_0:1:865257010,Marcelo,DEF,4,146,6.17,6.46,6.31,,1,1,2,0,93,0,53,0,6.31,,,2026-03-03 20:44:52,False
STEAM_0:0:120938788,markus,DEF,4,329,,,6.53,6.11,0,0,3,1,0,0,230,99,6.53,,,2026-02-08 22:41:24,False
STEAM_0:1:106825836,MARTEEEN,DEF,1,55,,,6.22,,0,0,1,0,0,0,55,0,6.22,,,2026-02-23 04:03:14,False
STEAM_0:1:189794746,matias,DEF,8,616,6.25,6.48,6.73,,1,2,5,0,94,142,380,0,6.73,,,2025-02-14 23:56:26,False
STEAM_0:1:762280994,matiasmedranda65,DEF,2,102,6.15,,6.22,,1,0,1,0,1,0,101,0,6.22,,,2026-05-17 00:54:58,False
STEAM_0:1:207573460,MaximGM,MID,1,93,,6.21,,,0,1,0,0,0,93,0,0,6.21,,,2025-04-07 22:48:01,False
STEAM_0:1:786602781,McNeil,DEF,4,161,6.31,6.51,6.5,6.13,1,1,1,1,74,0,82,5,6.5,,,2026-07-03 23:57:51,False
STEAM_0:0:158232016,me gusta pollo,DEF,1,5,,,6.19,,0,0,1,0,0,0,5,0,6.19,,,2025-08-02 00:13:58,False
STEAM_0:1:1975079,meany,MID,22,1811,6.58,7.02,7.15,,2,11,9,0,230,810,771,0,7.02,,,2026-04-29 03:03:59,False
STEAM_0:1:502515102,mezzi,ATK,1,92,6.31,,,,1,0,0,0,92,0,0,0,6.31,,,2025-04-28 22:06:31,False
STEAM_0:0:628924598,MIBOMBO,DEF,8,536,6.18,6.18,6.39,6.19,2,1,4,1,173,2,355,6,6.39,,,2026-04-06 01:15:59,False
STEAM_0:1:580837006,Michael,ATK,3,209,6.4,6.25,,,2,1,0,0,163,46,0,0,6.4,,,2025-03-16 02:04:54,False
STEAM_0:1:397425194,mige,DEF,2,195,,,6.58,,0,0,2,0,0,0,195,0,6.58,,,2026-02-19 02:33:31,False
STEAM_0:0:630644810,Mkzzz,DEF,43,3641,7.45,6.82,8.12,6.18,12,3,27,1,1000,215,2380,46,8.12,,,2026-08-05 02:06:44,False
STEAM_0:0:410956796,Mnkyy,DEF,1,96,,,6.46,,0,0,1,0,0,0,96,0,6.46,,,2026-01-26 04:16:58,False
STEAM_0:1:616070769,Mogoliko,ATK,1,99,6.17,,,,1,0,0,0,99,0,0,0,6.17,,,2026-05-10 02:06:10,False
STEAM_0:0:939892651,Momo,MID,3,131,,6.34,,,0,3,0,0,0,131,0,0,6.34,,,2026-02-23 04:03:14,False
STEAM_0:1:60839515,Morro Garcia9#ARBIIII,ATK,3,134,6.26,,5.93,,2,0,1,0,101,0,33,0,6.26,,,2026-07-11 23:42:00,False
STEAM_0:0:524493522,mr juan,MID,1,59,,6.36,,,0,1,0,0,0,59,0,0,6.36,,,2026-05-01 03:46:53,False
STEAM_0:1:576958660,MSN,DEF,2,142,6.17,,6.36,,1,0,1,0,49,0,93,0,6.36,,,2026-06-26 22:13:55,False
STEAM_0:0:645894343,mtxxsx,MID,1,47,,6.2,,,0,1,0,0,0,47,0,0,6.2,,,2025-04-27 19:03:23,False
STEAM_0:1:418025456,Myrex,DEF,2,196,,,6.53,,0,0,2,0,0,0,196,0,6.53,,,2026-08-06 02:12:41,False
STEAM_0:0:713392895,n1x,DEF,1,59,,,6.28,,0,0,1,0,0,0,59,0,6.28,,,2025-02-07 04:16:37,False
STEAM_0:0:406934671,NAJM,MID,1,3,,6.16,,,0,1,0,0,0,3,0,0,6.16,,,2026-03-27 23:22:49,False
STEAM_0:0:369786724,nando er huevo,ATK,1,47,6.17,,,,1,0,0,0,47,0,0,0,6.17,,,2026-07-03 00:21:07,False
STEAM_0:0:402091220,nani,DEF,18,1826,6.15,,6.93,,1,0,17,0,101,0,1725,0,6.93,,,2026-06-07 00:51:14,False
STEAM_0:1:207059805,Navas,DEF,1,98,,,6.44,,0,0,1,0,0,0,98,0,6.44,,,2026-01-09 23:38:36,False
STEAM_0:1:627914072,Nazario,ATK,1,12,6.17,,,,1,0,0,0,12,0,0,0,6.17,,,2025-09-28 20:31:39,False
STEAM_0:0:112392907,Never got good,DEF,49,3674,6.09,6.46,7.68,,3,2,44,0,66,103,3505,0,7.68,,,2026-07-28 05:35:18,False
STEAM_0:0:818080739,Newklozz,DEF,1,47,,,6.21,,0,0,1,0,0,0,47,0,6.21,,,2025-02-07 21:00:53,False
STEAM_0:0:582227167,nexZ,MID,5,465,,6.63,6.38,,0,4,1,0,0,372,93,0,6.63,,,2026-04-11 19:52:10,False
STEAM_0:0:359675904,NEYMAR,ATK,5,433,6.62,,6.12,,3,0,2,0,312,0,121,0,6.62,,,2026-08-25 05:47:01,False
STEAM_0:0:63653833,NeymarJR,ATK,18,1512,7.28,6.51,6.48,6.47,10,1,5,2,878,96,475,63,7.28,,,2026-04-28 02:09:12,False
STEAM_0:1:572996316,Nezm,MID,1,73,,6.22,,,0,1,0,0,0,73,0,0,6.22,,,2026-07-01 23:02:59,False
STEAM_0:1:796244694,NiNaTo,ATK,15,1378,7.43,6.5,6.73,,11,1,3,0,990,94,294,0,7.43,,,2026-07-26 03:50:44,False
STEAM_0:1:509480167,nunca,GK,47,2586,6.4,6.18,7.25,7.2,3,1,14,29,66,1,897,1622,7.2,,,2025-08-19 01:14:11,False
STEAM_0:1:19983526,nuri,ATK,7,551,6.67,6.57,6.21,,4,2,1,0,367,150,34,0,6.67,,,2025-11-06 05:12:23,False
STEAM_0:0:13866256,ObiWan #23,DEF,1,34,,,6.51,,0,0,1,0,0,0,34,0,6.51,,,2026-05-28 01:28:43,False
STEAM_0:1:229746586,OH,MID,1,0,,6.16,,,0,1,0,0,0,0,0,0,6.16,,,2026-02-25 05:26:04,False
STEAM_0:0:585527483,omg1v1pls,DEF,17,1432,6.42,,6.94,,4,0,13,0,434,0,998,0,6.94,,,2025-08-11 23:19:53,False
STEAM_0:0:382005052,Oryx,MID,1,23,,6.16,,,0,1,0,0,0,23,0,0,6.16,,,2026-03-19 02:12:37,False
STEAM_0:1:200387254,Pablow,MID,4,319,6.43,6.64,,,2,2,0,0,128,191,0,0,6.64,,,2026-02-21 22:06:38,False
STEAM_0:1:790102513,PANCHOOOO,ATK,1,12,6.18,,,,1,0,0,0,12,0,0,0,6.18,,,2025-05-06 19:26:06,False
STEAM_0:0:619503331,paolon,ATK,7,424,6.56,6.32,6.23,,4,2,1,0,318,55,51,0,6.56,,,2025-08-21 22:13:17,False
STEAM_0:1:714861490,Papuu,DEF,1,37,,,6.2,,0,0,1,0,0,0,37,0,6.2,,,2026-05-10 02:32:54,False
STEAM_0:0:954354920,parasite,MID,1,0,,6.16,,,0,1,0,0,0,0,0,0,6.16,,,2026-02-25 05:26:04,False
STEAM_0:0:489631589,pastel de nata,ATK,28,2340,7.48,6.9,6.86,6.19,14,6,7,1,1309,441,580,10,7.48,,,2026-08-06 02:12:41,False
STEAM_0:0:568262405,Pebrot LaLaLa,DEF,2,148,,,6.46,,0,0,2,0,0,0,148,0,6.46,,,2026-06-26 00:20:34,False
STEAM_0:0:580012006,PELE,DEF,2,31,,,6.2,,0,0,2,0,0,0,31,0,6.2,,,2025-02-13 03:46:24,False
STEAM_0:0:763127724,pelusa,DEF,2,64,,,6.36,,0,0,2,0,0,0,64,0,6.36,,,2025-05-09 00:23:54,False
STEAM_0:1:783901997,Pepe Martines Streamer,GK,2,46,,,,6.36,0,0,0,2,0,0,0,46,6.36,,,2026-06-15 21:34:08,False
STEAM_0:1:950175998,pepe martines te amo zoe,DEF,2,118,,,6.5,,0,0,2,0,0,0,118,0,6.5,,,2026-06-15 01:49:34,False
STEAM_0:0:128941826,PERRA INSACIABLE,DEF,1,86,,,6.28,,0,0,1,0,0,0,86,0,6.28,,,2026-01-31 00:16:19,False
STEAM_0:1:862849557,pesu,DEF,2,179,6.19,,6.21,,1,0,1,0,86,0,93,0,6.21,,,2025-10-11 05:13:03,False
STEAM_0:1:516321006,pimpdown,ATK,21,1864,7.55,6.96,6.74,,13,4,4,0,1157,384,323,0,7.55,,,2026-07-04 21:34:42,False
STEAM_0:0:500399852,pirri al que someten,GK,1,31,,,,6.24,0,0,0,1,0,0,0,31,6.24,,,2025-03-15 00:48:55,False
STEAM_0:1:900065944,Pitbull.,ATK,1,46,6.21,,,,1,0,0,0,46,0,0,0,6.21,,,2025-05-06 19:26:06,False
STEAM_0:0:599674750,pitufo.,DEF,2,161,,,6.42,,0,0,2,0,0,0,161,0,6.42,,,2025-02-02 23:08:05,False
STEAM_0:1:546343924,pokey,DEF,4,334,,6.29,6.95,,0,1,3,0,0,94,240,0,6.95,,,2026-08-13 00:38:16,False
STEAM_0:1:896237587,Polars Best Friend,ATK,23,1404,7.14,6.2,6.5,6.28,10,1,4,8,854,5,240,305,7.14,,,2026-07-05 07:13:09,False
STEAM_0:0:961864699,PRIME PELE,ATK,2,132,6.22,,,6.09,1,0,0,1,96,0,0,36,6.22,,,2026-06-18 18:36:46,False
STEAM_0:0:566482325,Prosor,ATK,1,12,6.17,,,,1,0,0,0,12,0,0,0,6.17,,,2025-07-01 01:53:45,False
STEAM_0:0:534882985,pussy destroyer,DEF,1,54,,,6.35,,0,0,1,0,0,0,54,0,6.35,,,2025-03-15 00:48:55,False
STEAM_0:0:557874496,pw?,ATK,3,313,6.71,,,,3,0,0,0,313,0,0,0,6.71,,,2026-01-09 22:48:58,False
STEAM_0:0:576072296,r$dvy,ATK,3,198,6.36,,6.3,,2,0,1,0,177,0,21,0,6.36,,,2026-01-25 21:25:33,False
STEAM_0:1:545627969,Raton perez,DEF,1,54,,,6.22,,0,0,1,0,0,0,54,0,6.22,,,2026-06-21 22:28:03,False
STEAM_0:1:616501621,rave,ATK,6,310,6.12,,6.38,,5,0,1,0,260,0,50,0,6.12,,,2026-06-21 21:08:58,False
STEAM_0:0:408779796,Reebok,DEF,3,226,,6.18,6.56,,0,1,2,0,0,0,226,0,6.56,,,2026-02-23 04:03:14,False
STEAM_0:0:529937721,Rego,GK,2,84,,,6.2,6.18,0,0,1,1,0,0,2,82,6.18,,,2025-08-23 03:29:15,False
STEAM_0:1:214000901,Remek,GK,1,1,,,,6.19,0,0,0,1,0,0,0,1,6.19,,,2025-06-15 23:53:41,False
STEAM_0:0:838440378,RenT,DEF,5,251,,,6.48,,0,0,5,0,0,0,251,0,6.48,,,2025-07-31 20:27:38,False
STEAM_0:0:758804014,Restrepo11,DEF,1,93,,,6.29,,0,0,1,0,0,0,93,0,6.29,,,2026-03-29 02:37:55,False
STEAM_0:1:574160535,Reyveron,DEF,5,308,,6.21,6.31,,0,1,4,0,0,68,240,0,6.31,,,2025-08-03 02:00:18,False
